x_,y_,t_,id
592075.903680113,4738777.09835966,2011/02/14 02:01:31+00,1072
592063.515075035,4738753.58691942,2011/02/14 02:11:21+00,1072
592059.534243819,4738750.33507893,2011/02/14 02:20:19+00,1072
592061.90513815,4738728.9754577,2011/02/14 02:30:27+00,1072
592330.583508884,4738688.52998758,2011/02/14 02:40:45+00,1072
592773.173134822,4738304.91685831,2011/02/14 02:50:42+00,1072
592816.249526227,4738219.75343743,2011/02/14 03:00:46+00,1072
592805.019412809,4738209.33981419,2011/02/14 03:10:51+00,1072
592821.128572569,4738219.47479414,2011/02/14 03:20:37+00,1072
592809.817319517,4738249.132704,2011/02/14 03:30:21+00,1072
592791.874355534,4738221.48017354,2011/02/14 03:40:15+00,1072
592798.265294913,4738199.41959016,2011/02/14 03:50:15+00,1072
592778.040961176,4738197.83692611,2011/02/14 04:00:46+00,1072
592798.852046603,4738204.4476701,2011/02/14 04:10:16+00,1072
592803.255257446,4738213.39220028,2011/02/14 04:20:22+00,1072
592806.927806371,4738212.19767779,2011/02/14 04:30:25+00,1072
592801.384373815,4738205.31473816,2011/02/14 04:40:34+00,1072
592812.444624607,4738198.56636397,2011/02/14 04:50:17+00,1072
592774.797635983,4738229.75810357,2011/02/14 05:00:46+00,1072
592786.770897306,4738195.87743064,2011/02/14 05:10:39+00,1072
592822.771997347,4738180.02403522,2011/02/14 05:20:41+00,1072
592817.652102193,4738176.92302897,2011/02/14 05:30:19+00,1072
592773.750915352,4738264.39662896,2011/02/14 05:40:40+00,1072
592827.867600728,4738190.39954521,2011/02/14 05:50:14+00,1072
592808.960730727,4738209.44838204,2011/02/14 06:00:46+00,1072
592813.105034615,4738213.92457966,2011/02/14 06:10:34+00,1072
592944.664844321,4737897.02541768,2011/02/14 06:20:43+00,1072
593298.484828112,4737675.0382575,2011/02/14 06:31:00+00,1072
593664.589929634,4737533.29204427,2011/02/14 06:40:07+00,1072
594055.266199874,4737445.85589403,2011/02/14 06:50:13+00,1072
594235.022152986,4737758.26259422,2011/02/14 07:00:12+00,1072
594556.67347029,4737845.0758051,2011/02/14 07:10:30+00,1072
594687.715544794,4737587.78775686,2011/02/14 07:20:27+00,1072
594424.295086336,4737532.55325831,2011/02/14 07:30:34+00,1072
594463.807592893,4737521.89868077,2011/02/14 07:40:11+00,1072
594211.105045845,4738001.80495057,2011/02/14 07:50:13+00,1072
593947.113728363,4737802.63825646,2011/02/14 08:00:20+00,1072
593971.506117498,4738042.37445886,2011/02/14 08:10:52+00,1072
593975.733102133,4738047.34119198,2011/02/14 08:20:53+00,1072
593968.349032314,4738047.14062918,2011/02/14 08:30:56+00,1072
593982.46059987,4737884.99801135,2011/02/14 08:41:11+00,1072
593521.865228574,4737859.81202024,2011/02/14 08:51:06+00,1072
593190.429058028,4737766.25122916,2011/02/14 09:00:51+00,1072
593156.787536088,4737710.74133992,2011/02/14 09:10:52+00,1072
593181.475738877,4737743.51721028,2011/02/14 09:20:28+00,1072
593196.02412165,4737757.8080458,2011/02/14 09:31:21+00,1072
593197.351207787,4737750.40675671,2011/02/14 09:40:40+00,1072
593205.907249855,4737757.13079684,2011/02/14 09:50:18+00,1072
593189.604425443,4737742.51635933,2011/02/14 10:00:52+00,1072
593200.918220654,4737756.44141632,2011/02/14 10:10:41+00,1072
593199.296935706,4737750.49968492,2011/02/14 10:20:15+00,1072
593155.391166232,4737734.17964837,2011/02/14 10:30:21+00,1072
593162.506780331,4737725.81250639,2011/02/14 10:40:19+00,1072
593179.729804897,4737738.92880729,2011/02/14 10:50:52+00,1072
593196.506306176,4737756.02639537,2011/02/14 11:00:15+00,1072
593203.610177308,4737750.34693693,2011/02/14 11:10:46+00,1072
593201.959262402,4737747.20367163,2011/02/14 11:20:22+00,1072
593188.720250095,4737755.88788522,2011/02/14 11:30:22+00,1072
593176.848063223,4737762.10270446,2011/02/14 11:40:20+00,1072
593190.35576468,4737754.72157265,2011/02/14 11:50:17+00,1072
593202.365456121,4737751.65180602,2011/02/14 12:00:14+00,1072
593195.080477625,4737764.6813981,2011/02/14 12:10:52+00,1072
593196.024049124,4737758.41890866,2011/02/14 12:20:22+00,1072
593192.309053421,4737751.22716445,2011/02/14 12:30:10+00,1072
593193.113583804,4737762.52235459,2011/02/14 12:40:12+00,1072
593175.434403941,4737758.35178675,2011/02/14 12:50:21+00,1072
593197.141474114,4737749.58203354,2011/02/14 13:00:42+00,1072
593193.499439974,4737765.44860738,2011/02/14 13:10:18+00,1072
593194.367302942,4737760.55120857,2011/02/14 13:20:15+00,1072
593190.144476213,4737758.25062173,2011/02/14 13:30:14+00,1072
593191.642730979,4737769.66625,2011/02/14 13:40:47+00,1072
593194.097191431,4737766.01201394,2011/02/14 13:50:18+00,1072
593182.748077538,4737768.02448269,2011/02/14 14:00:23+00,1072
593186.049624051,4737762.82676091,2011/02/14 14:10:39+00,1072
593192.492244575,4737772.78757926,2011/02/14 14:20:20+00,1072
593166.614384875,4737791.76352302,2011/02/14 14:30:22+00,1072
593204.311159501,4737769.30429462,2011/02/14 14:40:47+00,1072
593198.826411527,4737760.50038803,2011/02/14 14:50:21+00,1072
593203.138699199,4737769.49947832,2011/02/14 15:00:21+00,1072
593195.682798958,4737745.53062471,2011/02/14 15:10:21+00,1072
593205.266832436,4737767.59568214,2011/02/14 15:20:16+00,1072
593195.158492067,4737741.34745389,2011/02/14 15:30:17+00,1072
593201.52071258,4737760.89220297,2011/02/14 15:40:21+00,1072
593201.630256707,4737757.62833812,2011/02/14 15:50:18+00,1072
593217.464197646,4737786.35297946,2011/02/14 16:00:39+00,1072
593211.371564065,4737756.54934259,2011/02/14 16:10:14+00,1072
593187.557068814,4737765.69041881,2011/02/14 16:20:50+00,1072
593214.704729522,4737752.04067127,2011/02/14 16:30:38+00,1072
593201.804374228,4737744.13615307,2011/02/14 16:40:21+00,1072
593200.701594247,4737758.54874634,2011/02/14 16:50:23+00,1072
593201.312857269,4737760.53398286,2011/02/14 17:00:20+00,1072
593209.288767456,4737767.20576294,2011/02/14 17:10:18+00,1072
593194.02506667,4737745.91917288,2011/02/14 17:20:21+00,1072
593192.944545126,4737767.16263598,2011/02/14 17:30:48+00,1072
593206.470184026,4737757.84922664,2011/02/14 17:40:17+00,1072
593198.166500174,4737752.42806932,2011/02/14 17:50:52+00,1072
593213.315181282,4737802.20158669,2011/02/14 18:00:46+00,1072
593178.342650407,4737727.15927204,2011/02/14 18:10:43+00,1072
593196.11099872,4737753.79973149,2011/02/14 18:21:22+00,1072
593206.915750545,4737755.14523298,2011/02/14 18:30:11+00,1072
593204.745419605,4737749.27382772,2011/02/14 18:40:18+00,1072
593208.429391459,4737747.25777536,2011/02/14 18:50:22+00,1072
593200.135590186,4737759.87389278,2011/02/14 19:00:19+00,1072
593199.418240731,4737742.12693607,2011/02/14 19:10:19+00,1072
593199.588801967,4737742.21809345,2011/02/14 19:20:17+00,1072
593208.812000716,4737743.76436142,2011/02/14 19:30:37+00,1072
593211.354112865,4737774.18641304,2011/02/14 19:40:40+00,1072
593184.096720976,4737741.46457261,2011/02/14 19:50:08+00,1072
593194.264420013,4737759.08374539,2011/02/14 20:00:14+00,1072
593201.535906014,4737771.87685108,2011/02/14 20:10:19+00,1072
593198.873288188,4737796.38649666,2011/02/14 20:20:11+00,1072
593205.694632033,4737771.65537735,2011/02/14 20:30:27+00,1072
593188.424935484,4737679.64809653,2011/02/14 20:40:25+00,1072
593196.430608553,4737759.81272843,2011/02/14 20:50:19+00,1072
593189.160830482,4737762.6355525,2011/02/14 21:00:45+00,1072
593160.455185751,4737751.72984703,2011/02/14 21:10:13+00,1072
593175.920785246,4737745.96337524,2011/02/14 21:20:16+00,1072
593202.156550281,4737751.37131801,2011/02/14 21:30:18+00,1072
593172.518591911,4737748.31644912,2011/02/14 21:40:37+00,1072
593170.784549958,4737748.90389115,2011/02/14 21:50:24+00,1072
593202.783194648,4737752.82364492,2011/02/14 22:10:49+00,1072
593222.31512872,4737757.30809348,2011/02/14 22:20:14+00,1072
593162.147086225,4737788.18239033,2011/02/14 22:30:16+00,1072
593189.077370796,4737759.12473468,2011/02/14 22:40:44+00,1072
593181.209512156,4737756.56388583,2011/02/14 22:50:12+00,1072
593170.945221322,4737770.31961318,2011/02/14 23:00:52+00,1072
593243.997700677,4737896.2006491,2011/02/14 23:21:20+00,1072
593319.34873884,4738197.22074733,2011/02/14 23:50:45+00,1072
593314.134220807,4738199.31598771,2011/02/15 00:00:41+00,1072
593323.132698371,4738172.08211225,2011/02/15 00:10:24+00,1072
593327.638768913,4738166.12329154,2011/02/15 00:20:18+00,1072
593322.139549352,4738177.1666168,2011/02/15 00:30:15+00,1072
593321.069003695,4738171.04348596,2011/02/15 00:40:17+00,1072
593326.174909356,4738181.20849885,2011/02/15 00:50:52+00,1072
593326.563166899,4738179.1145996,2011/02/15 01:00:40+00,1072
593327.606506976,4738174.55278629,2011/02/15 01:10:16+00,1072
593323.959627744,4738185.93216084,2011/02/15 01:20:15+00,1072
593323.824362795,4738175.97879111,2011/02/15 01:30:20+00,1072
593327.158380644,4738180.46655575,2011/02/15 01:40:40+00,1072
593331.465650639,4738176.50424072,2011/02/15 01:50:46+00,1072
593327.260816917,4738179.54609165,2011/02/15 02:00:49+00,1072
593332.756067312,4738176.65498231,2011/02/15 02:10:47+00,1072
593329.535370227,4738179.51023016,2011/02/15 02:20:08+00,1072
593304.773989158,4738159.57201207,2011/02/15 02:30:39+00,1072
593330.687006975,4738182.05812536,2011/02/15 02:40:16+00,1072
593326.114951258,4738172.94435563,2011/02/15 02:50:19+00,1072
593334.057079141,4738188.11241624,2011/02/15 03:00:12+00,1072
593321.822285372,4738183.08215715,2011/02/15 03:10:13+00,1072
593338.224469519,4738216.24637291,2011/02/15 03:20:24+00,1072
593312.2144404,4738179.17590996,2011/02/15 03:30:11+00,1072
593328.063264325,4738177.06906504,2011/02/15 03:40:16+00,1072
593333.886214579,4738180.79083525,2011/02/15 03:50:21+00,1072
593365.324604976,4738178.20644606,2011/02/15 04:00:32+00,1072
593334.116440039,4738179.49447512,2011/02/15 04:10:07+00,1072
593320.50310194,4738180.22101093,2011/02/15 04:20:25+00,1072
593313.462461011,4738189.11101403,2011/02/15 04:30:19+00,1072
593323.551661313,4738182.22813324,2011/02/15 04:40:09+00,1072
593150.440970602,4738331.48225054,2011/02/15 04:50:45+00,1072
593230.298630447,4738545.28657254,2011/02/15 05:00:40+00,1072
592851.032575821,4738564.12670608,2011/02/15 05:10:59+00,1072
592766.756322262,4738406.14500389,2011/02/15 05:21:04+00,1072
592806.1895663,4738222.68348594,2011/02/15 05:30:48+00,1072
592811.306822222,4738224.76264152,2011/02/15 05:41:48+00,1072
592844.222761299,4738216.89792131,2011/02/15 05:51:10+00,1072
592847.553229911,4738212.55564554,2011/02/15 06:00:55+00,1072
592840.37286064,4738234.30568298,2011/02/15 06:11:08+00,1072
592838.08910816,4738238.67315804,2011/02/15 07:21:27+00,1072
592603.508266294,4738121.31039837,2011/02/15 07:30:22+00,1072
592808.542425313,4737935.3540112,2011/02/15 07:40:12+00,1072
593193.888350093,4737816.58872026,2011/02/15 07:50:24+00,1072
593522.036659697,4737619.68899974,2011/02/15 08:00:27+00,1072
593591.751308807,4737920.09155842,2011/02/15 08:10:58+00,1072
593904.90390209,4738115.54876266,2011/02/15 08:20:22+00,1072
594281.19778212,4737945.89653522,2011/02/15 08:30:23+00,1072
594832.058409059,4737783.60450712,2011/02/15 08:40:42+00,1072
594912.370483668,4738310.71138488,2011/02/15 23:31:27+00,1072
594748.919199648,4738574.92481192,2011/02/15 23:40:15+00,1072
594416.828328711,4738992.74651466,2011/02/15 23:51:19+00,1072
594426.415342087,4738972.96348973,2011/02/16 00:01:46+00,1072
594235.550990324,4739077.27648168,2011/02/16 00:10:58+00,1072
593771.728371212,4739058.31366249,2011/02/16 00:20:51+00,1072
593274.331149981,4739103.31305123,2011/02/16 00:30:52+00,1072
592814.878717386,4739338.87092327,2011/02/16 00:40:51+00,1072
592756.049819257,4739563.75473667,2011/02/16 00:50:19+00,1072
592669.996912949,4739515.64978341,2011/02/16 01:00:16+00,1072
592605.55702818,4739585.78852009,2011/02/16 01:10:07+00,1072
592779.878045905,4739339.77705307,2011/02/16 01:20:27+00,1072
592655.220859696,4739393.75594036,2011/02/16 01:30:25+00,1072
592767.014938945,4739605.85201006,2011/02/16 01:40:52+00,1072
592770.239972707,4739594.10016797,2011/02/16 01:50:52+00,1072
592781.436135034,4739578.9125853,2011/02/16 02:00:27+00,1072
592774.531856618,4739578.43093755,2011/02/16 02:10:36+00,1072
592771.685189111,4739590.02126994,2011/02/16 02:20:18+00,1072
592770.798752427,4739590.86455175,2011/02/16 02:30:52+00,1072
592771.312278382,4739592.81512214,2011/02/16 02:40:22+00,1072
592764.330874406,4739609.61436015,2011/02/16 02:50:37+00,1072
592777.539011547,4739593.80966042,2011/02/16 03:00:25+00,1072
592776.4454169,4739591.20709872,2011/02/16 03:10:25+00,1072
592771.007382855,4739577.18399303,2011/02/16 03:20:32+00,1072
592721.08701562,4739355.77936684,2011/02/16 03:30:30+00,1072
592614.535452761,4739150.57416369,2011/02/16 03:40:20+00,1072
592661.246422147,4739238.12213109,2011/02/16 03:50:51+00,1072
592675.46082815,4739224.76310451,2011/02/16 04:00:16+00,1072
592673.898028122,4739233.93837779,2011/02/16 04:10:26+00,1072
592678.685934496,4739245.25373831,2011/02/16 04:20:26+00,1072
592798.827363648,4739272.38162864,2011/02/16 04:30:10+00,1072
592762.070453727,4739323.55500877,2011/02/16 04:40:11+00,1072
592780.600003347,4739348.7276012,2011/02/16 04:50:22+00,1072
592808.788252642,4739271.83819964,2011/02/16 05:00:22+00,1072
592783.160387619,4739285.48761935,2011/02/16 05:10:46+00,1072
592786.115136253,4739301.73194687,2011/02/16 05:20:11+00,1072
592792.771149501,4739324.93441041,2011/02/16 05:30:11+00,1072
592778.572173926,4739320.73383293,2011/02/16 05:40:15+00,1072
592776.642113316,4739321.94069621,2011/02/16 05:50:22+00,1072
592791.524640705,4739301.48265644,2011/02/16 06:00:18+00,1072
592764.608798183,4739330.63076019,2011/02/16 06:10:24+00,1072
592792.470448464,4739334.51538056,2011/02/16 06:20:16+00,1072
592820.299908612,4739292.79587529,2011/02/16 06:30:46+00,1072
592724.628092718,4739295.59578128,2011/02/16 06:40:18+00,1072
592779.968814908,4739308.11328921,2011/02/16 06:50:19+00,1072
592788.808723509,4739303.95620187,2011/02/16 07:00:52+00,1072
592786.654053855,4739310.913271,2011/02/16 07:10:12+00,1072
592787.955624123,4739310.21996348,2011/02/16 07:20:19+00,1072
592789.321671449,4739305.95119093,2011/02/16 07:30:23+00,1072
592790.512197105,4739300.74709997,2011/02/16 07:40:10+00,1072
592810.082790873,4739296.57897218,2011/02/16 07:50:50+00,1072
593283.49601532,4739346.00618383,2011/02/16 08:00:11+00,1072
593372.976774365,4739546.0820852,2011/02/16 08:10:48+00,1072
593405.122271574,4739883.19373607,2011/02/16 08:20:25+00,1072
593790.567627139,4739876.32100112,2011/02/16 08:30:10+00,1072
593674.190587035,4739667.66574114,2011/02/16 08:40:21+00,1072
593612.730071515,4739536.98282646,2011/02/16 08:50:14+00,1072
593809.876994633,4739388.83397573,2011/02/16 09:00:22+00,1072
594039.339886101,4739197.44865591,2011/02/16 09:10:10+00,1072
593945.663225087,4738666.39449434,2011/02/16 09:31:39+00,1072
593946.001007207,4738660.21268247,2011/02/16 09:40:11+00,1072
593965.371046275,4738613.92854766,2011/02/16 09:50:22+00,1072
593928.094651945,4738455.51728897,2011/02/16 10:10:36+00,1072
593931.054232159,4738461.03318284,2011/02/16 10:20:44+00,1072
593923.64369758,4738455.60105638,2011/02/16 10:30:58+00,1072
593946.63684068,4738486.84629747,2011/02/16 10:41:40+00,1072
593919.029458603,4738477.28506089,2011/02/16 10:50:23+00,1072
593922.296528631,4738477.64054071,2011/02/16 11:00:41+00,1072
593913.882617371,4738492.43109797,2011/02/16 11:10:58+00,1072
593933.517763509,4738463.93225593,2011/02/16 11:20:49+00,1072
593935.239884602,4738446.19615863,2011/02/16 11:30:40+00,1072
593932.766863651,4738463.21120191,2011/02/16 11:40:52+00,1072
593931.299646295,4738464.63508412,2011/02/16 11:50:42+00,1072
593924.79077662,4738439.84521843,2011/02/16 12:00:54+00,1072
593939.328924102,4738493.09976068,2011/02/16 12:10:46+00,1072
593926.832359654,4738473.72613021,2011/02/16 12:20:48+00,1072
593932.726889112,4738446.92829007,2011/02/16 12:30:40+00,1072
593924.882771506,4738458.91661019,2011/02/16 12:41:28+00,1072
593946.323553716,4738529.05846037,2011/02/16 12:50:53+00,1072
593939.104283334,4738463.95281616,2011/02/16 13:00:52+00,1072
593940.980275299,4738463.14537018,2011/02/16 13:10:19+00,1072
593935.724111362,4738474.30261113,2011/02/16 13:20:44+00,1072
593932.643908462,4738481.24674778,2011/02/16 13:30:41+00,1072
593934.956808066,4738453.76704684,2011/02/16 13:40:52+00,1072
593985.622453822,4738433.36577696,2011/02/16 13:50:40+00,1072
593922.759905296,4738513.88789237,2011/02/16 14:00:44+00,1072
593938.189751858,4738450.62347027,2011/02/16 14:10:46+00,1072
593988.081378058,4738387.38437681,2011/02/16 14:21:14+00,1072
593937.86007473,4738443.59956888,2011/02/16 14:31:15+00,1072
593953.513867388,4738438.37054284,2011/02/16 14:51:02+00,1072
593933.34572795,4738464.55188583,2011/02/16 15:21:18+00,1072
593939.567836375,4738479.76391216,2011/02/16 15:41:45+00,1072
593972.885020121,4738432.27035063,2011/02/16 17:31:45+00,1072
593938.64372477,4738455.12785237,2011/02/16 17:41:10+00,1072
593940.340675195,4738461.45955171,2011/02/16 17:50:52+00,1072
593955.215374708,4738456.37541146,2011/02/16 18:00:36+00,1072
593928.116661046,4738474.32116845,2011/02/16 18:10:53+00,1072
593952.537255814,4738404.98171612,2011/02/16 18:21:22+00,1072
593945.630651573,4738461.03181127,2011/02/16 18:31:15+00,1072
593908.161474998,4738429.01190026,2011/02/16 18:41:04+00,1072
593936.965011657,4738461.26918433,2011/02/16 20:20:45+00,1072
593931.310991601,4738472.20998266,2011/02/16 20:30:35+00,1072
593909.970251456,4738478.79437358,2011/02/16 20:41:29+00,1072
593939.161992394,4738455.51253836,2011/02/16 20:50:40+00,1072
593925.232994237,4738462.6310052,2011/02/16 21:00:53+00,1072
593934.921680855,4738471.35952233,2011/02/16 21:10:53+00,1072
593964.033731548,4738448.53207701,2011/02/16 21:41:26+00,1072
593993.735426311,4738442.47274363,2011/02/16 21:51:23+00,1072
593951.089800907,4738460.79519281,2011/02/16 23:11:20+00,1072
593850.625787189,4738473.39947535,2011/02/16 23:21:21+00,1072
593690.061002107,4738380.36389101,2011/02/16 23:31:22+00,1072
593397.211374201,4738517.01292134,2011/02/16 23:41:10+00,1072
593027.477568422,4738271.66830413,2011/02/16 23:51:17+00,1072
592701.732845933,4738033.24398561,2011/02/17 00:10:58+00,1072
592706.582745045,4738059.48742075,2011/02/17 00:20:16+00,1072
592809.258818174,4738192.15940911,2011/02/17 00:30:52+00,1072
592808.380769282,4738216.6820845,2011/02/17 00:40:52+00,1072
592800.999746142,4738232.07648101,2011/02/17 00:50:17+00,1072
592804.889918654,4738204.37341931,2011/02/17 01:00:09+00,1072
592801.227691775,4738211.48790226,2011/02/17 01:10:42+00,1072
592771.156971814,4738180.54019885,2011/02/17 01:20:24+00,1072
592834.807910665,4738225.37880948,2011/02/17 01:30:47+00,1072
592808.721698595,4738215.05400119,2011/02/17 01:40:49+00,1072
592814.108097862,4738232.9970134,2011/02/17 01:50:45+00,1072
592852.189460298,4738216.33877352,2011/02/17 02:00:26+00,1072
592885.17835928,4738229.78881111,2011/02/17 02:10:15+00,1072
592846.712204574,4738233.1026537,2011/02/17 02:20:14+00,1072
592794.206583668,4738204.99603061,2011/02/17 02:30:52+00,1072
592816.437454804,4738211.25941313,2011/02/17 02:41:10+00,1072
592816.038446584,4738220.8501508,2011/02/17 02:50:52+00,1072
592815.80080589,4738216.62644259,2011/02/17 03:00:52+00,1072
592771.67918243,4738267.60078322,2011/02/17 03:10:11+00,1072
592760.337832498,4738287.96213527,2011/02/17 03:20:26+00,1072
592483.049484996,4738676.25664505,2011/02/17 03:30:32+00,1072
592137.298506552,4738756.22724962,2011/02/17 03:40:25+00,1072
591914.203082522,4738648.49281682,2011/02/17 03:50:08+00,1072
591982.341484221,4738762.91054207,2011/02/17 04:00:29+00,1072
592439.583541534,4738637.22281934,2011/02/17 04:10:13+00,1072
592487.617668373,4738609.47840374,2011/02/17 04:20:19+00,1072
592481.799260824,4738642.00934288,2011/02/17 04:30:12+00,1072
592714.511561896,4738522.38390025,2011/02/17 04:40:25+00,1072
592995.465960659,4738404.77144274,2011/02/17 04:50:10+00,1072
593236.207781679,4738238.26818004,2011/02/17 05:01:38+00,1072
593216.150394856,4738251.58046659,2011/02/17 05:10:52+00,1072
593232.004178764,4738253.32747271,2011/02/17 05:21:10+00,1072
593241.105975455,4738265.01251411,2011/02/17 05:31:06+00,1072
593248.280101082,4738241.39685902,2011/02/17 05:51:02+00,1072
593855.053951505,4737956.22283485,2011/02/17 06:21:37+00,1072
594155.090203559,4737973.9287156,2011/02/17 06:31:02+00,1072
594214.895299927,4737965.07143936,2011/02/17 06:41:09+00,1072
594222.580131362,4737971.4072525,2011/02/17 06:50:14+00,1072
594620.483265733,4737839.0091396,2011/02/17 07:00:58+00,1072
594706.334688799,4737641.45539366,2011/02/17 07:10:40+00,1072
594693.008526203,4737618.78141697,2011/02/17 07:20:52+00,1072
594704.492519421,4737629.6459106,2011/02/17 07:30:13+00,1072
594691.452326297,4737618.9155488,2011/02/17 07:40:11+00,1072
594699.790142106,4737630.12558225,2011/02/17 07:50:49+00,1072
594690.143515838,4737601.02692985,2011/02/17 08:00:26+00,1072
594689.257980712,4737624.41655626,2011/02/17 08:10:25+00,1072
594691.972956894,4737618.53396146,2011/02/17 08:20:23+00,1072
594689.368208197,4737633.6699367,2011/02/17 08:30:41+00,1072
594696.277647817,4737620.8032826,2011/02/17 08:40:25+00,1072
594691.74584188,4737631.50345035,2011/02/17 08:50:15+00,1072
594693.949477797,4737628.90141562,2011/02/17 09:00:10+00,1072
594700.842671845,4737632.11702125,2011/02/17 09:10:21+00,1072
594700.447128882,4737629.34602683,2011/02/17 09:20:17+00,1072
594689.898047306,4737624.86960948,2011/02/17 09:30:50+00,1072
594695.169967791,4737629.3846503,2011/02/17 09:40:12+00,1072
594682.442393685,4737632.83072512,2011/02/17 09:50:13+00,1072
594681.38529273,4737616.86701902,2011/02/17 10:00:26+00,1072
594687.591685152,4737629.59161198,2011/02/17 10:10:50+00,1072
594688.932684529,4737627.25540208,2011/02/17 10:20:44+00,1072
594507.008256097,4737635.56742489,2011/02/17 10:30:22+00,1072
594503.737766581,4737645.58526715,2011/02/17 10:41:04+00,1072
594572.798560701,4737670.75538809,2011/02/17 10:50:10+00,1072
594721.384607333,4737723.87372078,2011/02/17 23:30:56+00,1072
594674.471987331,4737704.52604118,2011/02/17 23:40:53+00,1072
594775.782881826,4737746.15677874,2011/02/17 23:50:48+00,1072
594719.134381212,4737737.61511375,2011/02/18 00:00:40+00,1072
594686.778717275,4737709.08209835,2011/02/18 00:10:19+00,1072
594727.538684188,4737725.50205801,2011/02/18 00:20:46+00,1072
594722.973356664,4737736.85704069,2011/02/18 00:30:14+00,1072
594718.93346816,4737728.41601823,2011/02/18 00:40:11+00,1072
594711.974592301,4737734.16258508,2011/02/18 00:50:07+00,1072
594726.725189627,4737725.16879286,2011/02/18 01:00:46+00,1072
594725.263253295,4737724.99322362,2011/02/18 01:10:15+00,1072
594735.942590942,4737721.1636876,2011/02/18 01:20:23+00,1072
594725.003325283,4737734.98567266,2011/02/18 01:30:10+00,1072
594746.662983371,4737693.49977989,2011/02/18 01:40:22+00,1072
594764.891340404,4737633.82959113,2011/02/18 01:50:40+00,1072
594703.137999488,4737722.94568301,2011/02/18 02:00:40+00,1072
594718.370368748,4737729.50784821,2011/02/18 02:10:40+00,1072
594727.525763489,4737734.18730998,2011/02/18 02:20:37+00,1072
594715.972937115,4737733.11792242,2011/02/18 02:30:46+00,1072
594733.184358592,4737729.60021007,2011/02/18 02:40:38+00,1072
594730.312170089,4737727.27278852,2011/02/18 02:50:20+00,1072
594668.999376485,4737682.4485931,2011/02/18 03:00:17+00,1072
594561.296179285,4737824.73620226,2011/02/18 03:10:24+00,1072
594473.918511708,4738122.23084812,2011/02/18 03:21:05+00,1072
594497.612485434,4738319.55470955,2011/02/18 03:30:22+00,1072
594605.149062064,4738442.22521604,2011/02/18 03:40:39+00,1072
594513.914983224,4738615.61590707,2011/02/18 03:50:48+00,1072
594444.149585823,4738921.48248577,2011/02/18 04:11:16+00,1072
594345.472578015,4739142.82084847,2011/02/18 04:20:52+00,1072
594344.985791247,4739111.44888275,2011/02/18 04:30:18+00,1072
594341.141572002,4739152.1023181,2011/02/18 04:40:15+00,1072
594134.011297651,4739168.07497172,2011/02/18 04:50:31+00,1072
593979.058968458,4739327.21908474,2011/02/18 05:00:27+00,1072
